Count_Star,url,id,info_url,abbreviation,latitude,longitude,address,city,county,state,zipcode,date,station_name,station_name0,autothefts,bicyclethefts,grandthefts,assaults,robberies,weapons,narcotics,intoxications,sexcrimes,fareevasions,vandalisms,trespassings,kidnappings,homicides,name,avgweekdayridership
320,https://www.bartcrimes.com/api/v0/stations/23/,23,http://www.bart.gov/stations/LAFY,LAFY,37.893176,-122.12463,3601 Deer Hill Road,Lafayette,contracosta,CA,94549,"May 21, 1973",Lafayette,Lafayette,98,68,58,15,12,9,3,8,2,0,0,2,0,0,Lafayette,3522
542,https://www.bartcrimes.com/api/v0/stations/13/,13,http://www.bart.gov/stations/DALY,DALY,37.70612055,-122.4690807,500 John Daly Blvd.,Daly City,sanmateo,CA,94014,"November 5, 1973",Daly City,Daly City,220,13,48,46,33,26,11,18,23,1,6,3,0,0,Daly City,8363
160,https://www.bartcrimes.com/api/v0/stations/38/,38,http://www.bart.gov/stations/SFIA,SFIA,37.615966,-122.392409,"International Terminal, Level 3",San Francisco International Airport,sanmateo,CA,94128,"June 22, 2003",San Francisco International Airport,San Francisco International Airport,0,1,24,14,4,6,3,16,4,0,2,0,0,1,San Francisco International Airport,6648
733,https://www.bartcrimes.com/api/v0/stations/24/,24,http://www.bart.gov/stations/LAKE,LAKE,37.797027,-122.26518,800 Madison Street,Oakland,alameda,CA,94607,"September 11, 1972",Lake Merritt,Lake Merritt,51,97,41,98,49,60,39,48,15,1,11,11,0,0,Lake Merritt,7402
537,https://www.bartcrimes.com/api/v0/stations/1/,1,http://www.bart.gov/stations/12TH,12TH,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612,"September 11, 1972",12th St. Oakland City Center,12th St. Oakland City Center,2,15,69,79,57,44,29,23,12,2,5,5,0,0,12th St. Oakland City Center,15138
110,,47,https://www.bart.gov/stations/antc,ANTC,37.995608,-121.780399,1600 Slatten Ranch Road,Antioch,contra costa,CA,94509,"May 26, 2018",Antioch,Antioch,78,1,7,6,3,1,0,1,2,1,3,1,0,0,Antioch,2928
265,https://www.bartcrimes.com/api/v0/stations/14/,14,http://www.bart.gov/stations/DBRK,DBRK,37.870104,-122.268133,2160 Shattuck Avenue,Berkeley,alameda,CA,94704,"January 29, 1973",Downtown Berkeley,Downtown Berkeley,1,12,22,34,12,15,9,16,12,5,0,3,0,0,Downtown Berkeley,12222
392,https://www.bartcrimes.com/api/v0/stations/28/,28,http://www.bart.gov/stations/NBRK,NBRK,37.873967,-122.28344,1750 Sacramento Street,Berkeley,alameda,CA,94702,"January 29, 1973",North Berkeley,North Berkeley,109,154,42,17,16,14,7,9,3,0,2,2,0,0,North Berkeley,4408
696,https://www.bartcrimes.com/api/v0/stations/39/,39,http://www.bart.gov/stations/SANL,SANL,37.721947,-122.160844,1401 San Leandro Blvd.,San Leandro,alameda,CA,94577,"September 11, 1972",San Leandro,San Leandro,295,49,67,65,60,47,11,19,8,3,5,2,0,0,San Leandro,6347
1756,https://www.bartcrimes.com/api/v0/stations/10/,10,http://www.bart.gov/stations/COLS,COLS,37.753661,-122.196869,7200 San Leandro St.,Oakland,alameda,CA,94621,"September 11, 1972",Coliseum,Coliseum,659,11,127,135,158,127,90,35,8,33,5,5,3,0,Coliseum,6106
1028,https://www.bartcrimes.com/api/v0/stations/22/,22,http://www.bart.gov/stations/HAYW,HAYW,37.669723,-122.087018,699 'B' Street,Hayward,alameda,CA,94541,"September 11, 1972",Hayward,Hayward,292,47,81,115,89,86,61,24,19,5,15,7,0,0,Hayward,4585
